"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\Repos\Nodejs\runwaybase.js\coverage\clover.xml", "XML", 0, 0, 0, 0, 473, 0, 0, 1, 474
"d:\Repos\Nodejs\runwaybase.js\coverage\coverage-final.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\base.css", "CSS", 0, 0, 0, 0, 0, 203, 9, 13, 225
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\block-navigation.js", "JavaScript", 60, 0, 0, 0, 0, 0, 6, 14, 80
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\client\Collection.ts.html", "HTML", 0, 0, 0, 549, 0, 0, 0, 14, 563
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\client\Document.ts.html", "HTML", 0, 0, 0, 351, 0, 0, 0, 14, 365
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\client\RealtimeDatabase.ts.html", "HTML", 0, 0, 0, 141, 0, 0, 0, 14, 155
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\client\Runwaybase.ts.html", "HTML", 0, 0, 0, 162, 0, 0, 0, 14, 176
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\client\index.html", "HTML", 0, 0, 0, 153, 0, 0, 0, 18, 171
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\client\index.ts.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 14, 92
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\core\Runwaybase.ts.html", "HTML", 0, 0, 0, 258, 0, 0, 0, 14, 272
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\core\index.html", "HTML", 0, 0, 0, 111, 0, 0, 0, 15, 126
"d:\Repos\Nodejs\runwaybase.js\coverage\lcov-report\core\index.ts.html", "HTML", 0, 0, 0, 66, 0, 0, 0, 14, 80
